Year,All,Amphibians,Birds,Mammals,Plants
1985,1.0,1.0,1.0,1.0,1.0
1986,1.04,0.91,0.98,1.28,0.96
1987,1.02,0.68,1.02,1.41,0.91
1988,0.95,0.55,1.04,1.3,0.87
1989,0.9,0.46,1.05,1.2,0.84
1990,0.87,0.39,1.01,1.24,0.82
1991,0.76,0.21,1.0,1.19,0.83
1992,0.76,0.2,0.99,1.16,0.87
1993,0.74,0.19,0.95,1.15,0.89
1994,0.71,0.13,0.94,1.13,0.94
1995,0.72,0.12,0.94,1.09,0.99
1996,0.65,0.1,0.91,0.96,0.93
1997,0.66,0.09,0.9,1.06,0.95
1998,0.67,0.07,0.9,1.11,0.99
1999,0.65,0.08,0.87,1.09,0.95
2000,0.63,0.08,0.83,0.99,0.97
2001,0.57,0.06,0.8,0.86,0.87
2002,0.52,0.05,0.73,0.82,0.81
2003,0.5,0.05,0.7,0.72,0.83
2004,0.47,0.05,0.67,0.68,0.78
2005,0.46,0.05,0.68,0.64,0.76
2006,0.43,0.04,0.62,0.66,0.67
2007,0.42,0.04,0.61,0.7,0.63
2008,0.4,0.04,0.6,0.64,0.59
2009,0.4,0.05,0.59,0.62,0.56
2010,0.39,0.05,0.57,0.64,0.54
2011,0.37,0.05,0.56,0.63,0.49
2012,0.35,0.04,0.53,0.64,0.45
2013,0.34,0.04,0.5,0.63,0.44
2014,0.31,0.03,0.46,0.59,0.4
2015,0.31,0.03,0.45,0.62,0.38
2016,0.3,0.03,0.46,0.61,0.34
2017,0.27,0.03,0.43,0.62,0.29
2018,0.27,0.03,0.43,0.6,0.3
2019,0.26,0.02,0.4,0.59,0.3
2020,0.26,0.03,0.4,0.56,0.3
2021,0.27,0.03,0.41,0.55,0.32
